BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2014;080000276;080001969;GEN;168;168;0;;6798;745;1718;237;151;3;14;10;0;157;27;35;408;2;730;1225;874;377;1;0
URGENCES2;2014;080000425;080000615;GEN;348;1356;1;IAO;51215;5118;16184;9948;2581;1921;20;16;0;1296;185;0;11264;14;5110;7490;3884;3786;1;0
URGENCES2;2014;090000175;090781774;GEN;403;687;1;IAO;34605;3876;9548;7304;1992;1060;1;1;0;396;64;45;7701;6;2190;2580;1101;1615;1;1
URGENCES2;2014;090000183;090781816;GEN;336;336;0;;10158;;;;;;;;;;;;;3;1095;1081;476;620;0;1
URGENCES2;2014;090001629;090780107;GEN;168;168;1;IAO;5415;641;1480;224;165;;8;8;;;;;232;;;0;0;0;1;1
URGENCES2;2014;100000090;100000017;GEN;504;969;1;IAO;52401;6802;13078;15872;4162;2170;8;13;0;77;89;74;15957;15;5475;4005;720;3757;1;1
URGENCES2;2014;100000199;100006279;GEN;168;288;0;;17528;2570;3860;2350;;;18;;;728;;;3096;4;1460;816;253;661;1;0
URGENCES2;2014;110000023;110780061;GEN;238;735;1;IAO;33796;5128;8004;7723;2645;1245;;;;308;56;35;8031;9;3285;2585;919;1928;1;1
URGENCES2;2014;110000049;110780087;GEN;168;168;1;IAO;12758;;;335;;;;;;373;;;708;2;730;426;109;336;0;1
URGENCES2;2014;110000056;110780137;GEN;217;503;1;IAO;40773;4279;11520;8254;2512;1935;;;;1111;;;9365;9;3285;3347;1323;2545;0;0
URGENCES2;2014;110780228;110000114;GEN;168;221;1;IAO;18573;1511;4116;2019;788;101;;;;;;;2019;4;1460;392;160;242;0;1
URGENCES2;2014;110780483;110000155;GEN;168;292;1;IAO;19986;1100;5425;1532;296;89;;;;;;;1532;4;1460;159;56;103;;
URGENCES2;2014;120000039;120780044;GEN;336;332;1;IAO;29266;4343;7734;7776;2774;981;55;5;46;1755;792;55;9586;8;2920;1621;366;1327;;
URGENCES2;2014;120000054;120780069;GEN;186;186;1;MAO;13949;2084;2701;3696;1276;159;;;;;;;3696;2;730;539;301;241;1;0
URGENCES2;2014;120000070;120780085;GEN;195;328;1;IAO;10752;1798;2478;2467;1159;48;10;7;0;236;82;29;2713;2;730;804;491;315;1;
URGENCES2;2014;120004569;120004528;GEN;168;252;1;IAO;16763;2028;3751;2835;;;64;;;368;;;3267;3;1095;953;360;612;1;1
URGENCES2;2014;120004668;120004619;GEN;168;172;1;IAO;8720;1136;2021;1692;647;65;;;;288;58;57;1980;2;664;615;329;294;1;1
URGENCES2;2014;130000409;130041916;GEN;672;1514;1;IAO;49044;6427;4647;13916;4513;293;18;15;0;1177;124;41;15111;12;4380;8493;3564;6612;;
URGENCES2;2014;130000409;130041916;PED;168;380;1;IAO;13471;;;;;;;;;;;;2201;2;730;125;107;78;;
URGENCES2;2014;130000565;130781446;GEN;262;672;1;IAO;37290;;9921;3192;;1177;9;;;293;;;2317;9;3285;3495;1682;2011;0;1
URGENCES2;2014;130001225;130782634;GEN;380;671;1;IAO;40530;3782;11836;10240;;;172;;;562;;;10974;6;2190;2182;421;1930;1;1
URGENCES2;2014;130002215;130785512;GEN;257;297;1;IAO;25636;2885;5309;3894;1206;39;;;;465;79;101;4359;4;1460;1179;367;855;1;0
URGENCES2;2014;130002827;130789274;GEN;238;588;1;IAO;33830;2997;6956;5300;1987;172;493;15;17;608;64;228;6401;3;1095;2675;1566;1124;1;1
URGENCES2;2014;130002835;130789316;GEN;258;644;1;IAO;41788;3661;13520;8384;2077;1984;10;1;0;713;289;12;9107;10;3650;6986;3794;3510;1;0
URGENCES2;2014;130043664;130002157;GEN;168;238;1;IAO;29358;1589;2225;3338;638;46;;;;;;;3338;6;2190;2897;1792;1155;1;0
URGENCES2;2014;130780521;130786049;GEN;;1128;1;IAO;55640;4349;2212;6851;1714;138;;;;;;;6851;24;;5205;1315;5933;;
URGENCES2;2014;130780521;130786049;PED;243;651;1;IAO;33247;;;;;;;;;;;;2253;2;;675;466;390;;
URGENCES2;2014;130781479;130000599;GEN;228;336;1;IAO;14160;1703;1844;3645;1098;78;18;0;0;88;14;13;3751;2;730;137;73;64;1;1
URGENCES2;2014;130782071;130002454;GEN;168;252;0;;13304;813;3783;1396;322;74;;;;170;11;19;1566;6;2190;274;220;56;1;1
URGENCES2;2014;130782147;130000979;GEN;336;420;1;IAO;32416;2909;5847;3996;1337;93;;;;219;25;65;4215;6;2190;1000;341;659;1;1
URGENCES2;2014;130783236;130786049;GEN;;;0;;57867;5044;1636;5244;1459;78;;;;;;;5244;0;;4090;1192;4722;;
URGENCES2;2014;130783293;130786049;GEN;;;1;IAO;29812;4137;687;3944;1031;30;;;;;;;3944;19;2190;5169;2113;3589;;
URGENCES2;2014;130784713;130038847;GEN;168;252;1;IAO;13809;;;2125;;;;;;;;;2125;4;;65;20;45;1;1
URGENCES2;2014;130785652;130014228;GEN;430;566;1;IAO;24492;3636;705;8283;2517;71;;;;;;;8283;5;1825;9112;6570;2602;0;0
URGENCES2;2014;130785652;130014228;PED;420;415;1;IAO;27751;;;;;;;;;;;;2602;6;1916;1033;878;155;;
URGENCES2;2014;130786361;130002447;GEN;168;252;0;;14562;1542;2189;2893;798;69;;;;;;;2893;3;1095;634;508;126;1;0
URGENCES2;2014;130786742;750821092;GEN;232;435;1;IAO;16005;3213;1261;5418;2031;95;39;1;0;626;336;7;6083;9;3285;3996;2651;1380;1;1
URGENCES2;2014;130804297;130786049;PED;256;631;1;IAO;35869;;;;;;;;;;;;4405;;;259;161;99;;
URGENCES2;2014;140000027;140000035;GEN;604;898;1;IAO;41497;2538;18889;9569;1897;3243;2;1;;;;;6478;9;2190;2552;629;2197;1;1
URGENCES2;2014;140000076;140000084;GEN;168;168;1;IAO;7245;696;2316;877;413;1;0;0;0;249;39;59;1126;2;730;398;101;337;0;0
URGENCES2;2014;140000209;140000100;GEN;590;1578;1;IAO;52648;7719;1214;12182;3987;107;394;9;23;1213;232;12;13789;14;5110;10035;3588;7705;1;1
URGENCES2;2014;140000209;140000100;PED;227;504;1;IAO;24251;;;;;;;;;;;;3002;3;1095;1235;534;701;;
URGENCES2;2014;140000233;140000118;GEN;168;247;1;IAO;17673;2001;6537;4640;1397;942;;;;;;;4640;2;730;492;177;321;1;0
URGENCES2;2014;140000373;140000159;GEN;168;252;1;IAO;10548;1965;1927;3635;1483;35;212;4;11;560;81;190;4407;2;730;1063;141;981;1;1
URGENCES2;2014;140002452;140025800;GEN;168;267;1;IAO;14804;765;2248;759;;;;;;;;;759;3;1095;725;578;147;1;1
URGENCES2;2014;140016759;140003146;GEN;168;301;1;IAO;20001;1489;5245;2023;;;0;0;0;0;;;2023;6;1023;1018;739;279;1;0
URGENCES2;2014;140017237;140003278;GEN;287;378;1;IAO;24516;1846;6994;2453;;;;;;;;;2453;6;2190;1215;935;281;0;0
URGENCES2;2014;140024886;140000092;GEN;184;420;1;IAO;20330;2473;5482;5996;1609;726;18;;;419;;;6433;4;1460;2005;890;1248;1;0
URGENCES2;2014;140026410;140026279;GEN;336;392;1;IAO;16313;1712;3087;3314;;;;;;845;;;4159;5;1825;1621;171;1679;0;0
URGENCES2;2014;150000032;150780088;GEN;58;168;0;;12675;1773;2738;3030;1227;113;96;10;0;263;67;50;3389;0;0;0;0;0;1;1
URGENCES2;2014;150000040;150780096;GEN;282;545;1;IAO;24604;3039;3272;15792;2623;1610;12;1;0;1763;84;365;17567;6;2190;1547;311;1350;1;1
URGENCES2;2014;150000164;150780468;GEN;48;35;;;7666;1496;1586;2228;726;52;0;0;0;52;17;18;2280;6;2190;1560;309;1287;0;0
URGENCES2;2014;160000253;160000451;GEN;408;1120;1;IAO;41878;6240;6026;11870;3499;271;56;35;0;958;159;23;12884;10;3650;5405;2883;2631;1;1
URGENCES2;2014;160000253;160000451;PED;168;320;0;;10442;;;;;;;;;;;;1323;4;1460;738;244;496;;
URGENCES2;2014;160000303;160006037;GEN;168;252;0;;8566;1383;1664;2092;;;;;;;;;2092;2;730;606;171;482;1;1
URGENCES2;2014;160000311;160000485;GEN;168;134;1;IAO;9514;1256;2325;948;589;0;21;12;0;406;69;68;1375;2;730;795;244;674;1;0
URGENCES2;2014;160000337;160000493;GEN;168;210;0;;9107;1401;2154;1854;823;29;12;10;0;254;61;11;2120;3;1095;1185;580;698;1;1
URGENCES2;2014;160015368;160014411;GEN;218;434;1;IAO;16502;2348;3362;4650;1628;118;2;2;;1230;186;181;5882;7;2555;2659;1399;1360;1;1
URGENCES2;2014;170000038;170780050;GEN;155;155;0;;14234;2277;2993;3031;1278;111;0;0;0;294;53;43;3325;4;1460;1058;435;637;1;0
URGENCES2;2014;170000087;170023279;GEN;525;1010;1;MAO;46229;8125;8048;12405;5633;670;3877;2492;56;154;14;18;16436;15;4737;4680;1365;3804;1;0
URGENCES2;2014;170000095;170780167;GEN;109;191;0;;12014;2069;2124;2716;1248;77;2;2;0;190;28;40;2908;3;1095;888;346;566;1;1
URGENCES2;2014;170000103;170780175;GEN;168;736;1;IAO;24598;3742;3714;6613;2412;180;226;3;1;199;25;13;7038;8;2920;2590;459;2875;1;0
URGENCES2;2014;170000103;170780175;PED;168;195;0;;8594;;;;;;;;;;;;1891;2;730;397;234;163;;
URGENCES2;2014;170000152;170780225;GEN;406;1008;1;IAO;29853;4048;8753;9549;2883;1463;;;;233;24;;9782;8;2920;2773;309;2563;0;1
URGENCES2;2014;170022065;170022057;GEN;337;504;1;IAO;18915;3967;2513;;;;;;;4201;2099;51;4201;0;0;0;0;0;1;0
URGENCES2;2014;170022818;170022057;GEN;84;84;1;IAO;5215;533;1094;;;;;;;429;82;35;429;;;0;0;0;1;0
URGENCES2;2014;170022826;170022057;GEN;84;136;1;IAO;10441;1128;1924;;;;;;;1791;423;75;1791;;;0;0;0;1;0
URGENCES2;2014;180000010;180000028;GEN;462;1095;1;IAO;48548;5904;10389;13136;1160;1368;1;1;0;;;;13137;13;4745;4630;710;5512;;
URGENCES2;2014;180000200;180000051;GEN;74;308;1;IAO;19864;;;3613;;;;;;281;;;3894;4;1460;2225;536;1919;1;1
URGENCES2;2014;180000283;180000069;GEN;168;284;1;IAO;13942;2076;3229;3804;1407;24;2;2;;;;;3806;5;1825;2358;1506;939;1;1
URGENCES2;2014;190000018;190000042;GEN;288;742;1;IAO;32487;7130;4799;9783;3513;926;357;;;;;;10140;9;3285;2563;420;2336;1;1
URGENCES2;2014;190000026;190000059;GEN;203;;1;IAO;18976;2784;3952;4396;1730;397;507;45;0;219;29;34;5122;6;2190;1450;268;1307;1;1
URGENCES2;2014;190000091;190000075;GEN;11886;;1;IAO;11323;2073;2566;2926;1199;82;119;119;;;;;3045;1;265;256;84;172;1;0
URGENCES2;2014;210780136;210000030;GEN;168;308;1;IAO;12171;1519;1803;623;34;204;17;;2;812;7;55;1452;4;1460;2583;2022;563;1;1
URGENCES2;2014;210987558;210780581;GEN;611;1260;1;MAO;44205;;;17535;;;;;;;;;17535;8;2920;5249;2639;2628;1;0
URGENCES2;2014;210987558;210780581;PED;104;462;0;;22699;;;;;;;;;;;;2487;4;1460;2395;1394;1020;;
URGENCES2;2014;210987657;210780714;GEN;376;756;1;IAO;23936;2719;6409;6388;807;941;8;8;0;598;0;0;6994;6;2190;3007;1252;1955;0;1
URGENCES2;2014;210987665;210010070;GEN;168;336;0;;10754;;;507;;;2;;;271;;;780;2;730;1742;1607;135;0;0
URGENCES2;2014;210987673;210010070;GEN;168;245;0;;7189;1017;1455;175;;;2;;;194;;;371;2;730;1212;1025;190;0;0
URGENCES2;2014;210987699;210780706;GEN;336;539;1;IAO;20030;2203;5608;3923;;;386;9;7;469;194;37;4778;4;1460;1352;585;802;1;0
URGENCES2;2014;220000012;220000020;GEN;1168;1304;1;IAO;66816;7992;20555;16330;5157;2792;0;0;0;432;78;11;14586;17;6205;5333;1912;3777;0;1
URGENCES2;2014;220000095;220000046;GEN;441;483;1;IAO;28085;4181;7817;7664;1141;2133;12;2;3;5;1;1;7681;;;0;0;0;1;1
URGENCES2;2014;220000343;220000079;GEN;336;455;0;;21627;3346;4432;6140;2370;111;;;;387;;;6527;6;2190;1673;453;1339;1;1
URGENCES2;2014;220000368;220000103;GEN;368;574;1;IAO;23410;2901;5674;;;;;;;;;;;6;2190;2387;1223;1197;1;1
URGENCES2;2014;220000541;220000152;GEN;336;252;0;;14174;1990;3614;3571;1299;427;9;7;0;681;102;70;4261;4;1460;624;397;227;0;0
URGENCES2;2014;230000820;230780041;GEN;216;420;1;IAO;19413;4554;3725;7259;;;5;;;732;;;7996;6;2190;1633;777;890;1;0
URGENCES2;2014;230004657;230780058;GEN;168;168;0;;5565;1385;1072;;;;;;;626;;;626;2;730;754;366;417;1;0
URGENCES2;2014;240000190;240000596;GEN;168;274;0;;11234;;;1867;;;;;;266;;;2133;2;;409;371;38;;
URGENCES2;2014;240000372;240000059;GEN;336;441;1;IAO;28412;3912;3704;7445;2443;744;0;0;0;230;47;33;7675;4;1460;2905;801;2205;1;0
URGENCES2;2014;240000489;240000117;GEN;588;959;1;IAO;43030;6172;3824;10484;;;4;;;;;;12209;17;6205;6200;1678;5659;0;1
URGENCES2;2014;240000687;240000448;GEN;168;420;1;IAO;13418;1813;2942;2848;1148;54;128;21;0;533;91;112;3509;4;1460;787;293;519;;
URGENCES2;2014;250000114;900000365;GEN;380;952;1;IAO;35644;5178;5130;9290;3008;244;;;;;;;9290;9;2920;3060;482;2985;1;1
URGENCES2;2014;250000700;250000452;GEN;259;486;1;IAO;27414;2597;7562;6585;1674;1403;10;;;296;;;6891;6;2190;1501;392;1281;1;0
URGENCES2;2014;250006954;250000015;GEN;1113;2080;1;IAO;59666;7611;2788;;;;;;;;;;;3;1095;1225;521;1182;1;1
URGENCES2;2014;250006954;250000015;PED;170;359;1;IAO;17852;;;;;;;;;;;;3256;4;1460;967;219;906;;
URGENCES2;2014;260000013;260000021;GEN;336;504;1;IAO;67251;;15554;14298;;2174;;;;1169;;;15467;14;5110;4322;893;4081;0;1
URGENCES2;2014;260000120;260016910;GEN;280;420;1;IAO;25649;3346;6819;6130;;;118;;;553;;;6801;6;2190;1386;87;2182;1;1
URGENCES2;2014;260000138;260000047;GEN;360;593;1;IAO;40550;3905;9681;6741;1796;1496;30;23;0;755;86;26;7526;10;3650;4792;1206;4323;0;0
URGENCES2;2014;260000146;260000054;GEN;168;174;1;IAO;10004;775;2616;985;;;;;;;;;985;2;730;306;118;189;;
URGENCES2;2014;260000203;260016910;GEN;218;336;0;;9776;1030;2326;1335;;;66;;;184;;;1585;2;730;446;117;334;1;
URGENCES2;2014;260000286;260000104;GEN;168;168;1;IAO;7215;;;1173;;;;;;;;;1173;2;467;379;237;184;0;0
URGENCES2;2014;270000045;270000060;GEN;202;248;0;;18938;2120;4404;3677;1218;107;3;3;;;;;3680;4;1460;1370;328;1106;0;0
URGENCES2;2014;270000326;270000680;GEN;168;424;1;IAO;15870;670;4443;1525;114;517;;;;38;19;6;1563;4;1460;32;16;70;1;1
URGENCES2;2014;270000359;270023724;GEN;644;808;1;IAO;54446;4015;19377;8815;2103;1764;0;0;0;;;;7137;10;3650;3267;1646;1864;0;0
URGENCES2;2014;270000367;270000086;GEN;168;168;0;;18035;1643;4812;2561;803;145;;;;241;;;2802;2;730;481;81;446;0;0
URGENCES2;2014;270000391;760024042;GEN;178;168;1;IAO;13918;926;3497;;;;;;;;;;;;;0;0;0;0;0
URGENCES2;2014;270000425;270000102;GEN;168;337;0;;17874;;;805;;;;;;828;;;1633;6;2031;1994;843;1322;0;0
URGENCES2;2014;270000441;270000110;GEN;168;168;0;;14978;1181;4980;1119;;;153;;;503;;;1775;4;1460;840;182;732;0;0
URGENCES2;2014;270000458;270023724;GEN;238;420;1;IAO;22840;2130;4663;4332;1295;134;7;4;0;;;;4339;6;2190;1562;402;1248;1;1
URGENCES2;2014;280000084;280000183;GEN;672;1029;1;IAO;57290;3988;21768;10157;2341;1860;176;3;18;;;;10333;11;4015;2946;964;2228;0;0
URGENCES2;2014;280000662;280500075;GEN;406;490;1;IAO;16800;2470;3778;4803;1507;35;;;;365;6;;5168;5;1825;1166;347;890;0;1
URGENCES2;2014;280502998;280000589;GEN;168;168;1;IAO;15301;2264;3610;2983;;1242;1;;;842;43;52;3826;3;1095;1237;0;1284;0;0
URGENCES2;2014;280504267;280000134;GEN;792;1016;1;MAO;56866;5622;17588;13325;3588;2163;5;2;0;254;53;4;13584;16;5840;6170;2051;4756;1;1
URGENCES2;2014;280505777;280001199;GEN;168;240;0;;18731;;;;;;;;;;;;;8;2920;911;78;852;;
URGENCES2;2014;290000025;290020700;GEN;504;1516;1;IAO;42342;5431;14597;9473;2957;2747;44;27;0;1028;160;15;10545;22;8030;3421;1417;2106;1;1
URGENCES2;2014;290000033;290021542;GEN;273;865;1;IAO;31555;4512;7328;10468;3298;1214;1359;39;58;87;13;11;11914;10;3650;3160;987;2339;1;1
URGENCES2;2014;290000058;290000017;PED;223;634;1;IAO;25350;;;;;;;;;;;;3759;0;0;0;0;0;;
URGENCES2;2014;290000066;290020700;GEN;84;148;1;IAO;7160;1055;1610;1130;525;58;2;1;0;41;10;0;1173;0;0;0;0;0;1;1
URGENCES2;2014;290000173;290000041;GEN;195;273;0;;16293;2045;3918;3182;1362;84;323;20;4;76;5;0;3581;4;1460;1014;210;904;0;0
URGENCES2;2014;290000181;290000074;GEN;168;357;1;IAO;13576;2405;2467;3812;1595;53;3;1;0;368;70;55;4183;2;730;1090;550;571;1;1
URGENCES2;2014;290000256;290000017;GEN;168;175;0;;12356;3027;1823;3833;1999;83;;;;;;;3833;4;1460;1026;161;961;1;1
URGENCES2;2014;290000728;750821092;GEN;228;346;1;IAO;19509;2115;673;4640;1312;86;;;;;;;4640;4;1460;2017;550;1505;1;1
URGENCES2;2014;290000785;220020739;GEN;336;420;1;IAO;15108;2696;3047;2850;1367;7;;8;0;;;;2850;2;732;294;140;154;1;0
URGENCES2;2014;290000934;290000306;GEN;358;566;1;IAO;20828;3308;4696;5160;2368;51;292;40;5;179;46;1;5631;6;2190;1429;406;1025;0;0
URGENCES2;2014;290004324;290000017;GEN;504;1158;1;IAO;40640;9381;;17952;6172;;;;;;;;17952;16;5840;5159;600;5335;1;1
URGENCES2;2014;290019777;290022508;GEN;244;493;1;IAO;32682;1814;9407;2694;254;111;;;;504;126;33;3198;6;2190;2938;2603;337;1;0
URGENCES2;2014;2A0000022;2A0000014;GEN;672;1008;1;IAO;34100;3838;5970;7639;2095;921;153;134;0;578;230;13;8370;8;2153;1799;437;1813;1;1
URGENCES2;2014;2A0000154;2A0000204;GEN;168;186;1;IAO;18212;918;4665;1983;476;95;;;;263;27;58;2246;4;;362;231;131;1;1
URGENCES2;2014;2B0000012;2B0000020;GEN;450;966;1;IAO;29443;3800;5322;6936;;;351;;;856;;;8143;6;;2520;934;1834;1;1
URGENCES2;2014;2B0005359;2B0005342;GEN;168;168;1;IAO;11854;;;1287;;;;;;;;;1287;2;730;779;320;531;0;
URGENCES2;2014;300000023;300780046;GEN;336;574;1;IAO;37698;5611;8811;9140;2915;1113;531;15;7;580;199;38;10251;8;2920;3577;766;3067;1;1
URGENCES2;2014;300000031;300780053;GEN;208;238;1;IAO;26319;2918;6942;6681;1748;898;;;;;;;6681;6;2190;2078;863;1375;0;1
URGENCES2;2014;300780137;920028396;GEN;168;168;1;IAO;10572;824;;1177;363;;;;;;;;1177;2;730;98;56;42;1;1
URGENCES2;2014;300782117;300780038;GEN;6900;1502;1;IAO;55972;7352;4012;13762;;;367;;;495;;;14624;10;3650;3702;692;3450;1;1
URGENCES2;2014;300782117;300780038;PED;1585;0;1;IAO;15805;;;;;;;;;;;;2857;1;;85;51;40;;
URGENCES2;2014;300788502;300788486;GEN;228;256;1;IAO;22582;971;6466;2182;276;225;0;;;0;;;2182;6;2190;239;122;117;1;1
URGENCES2;2014;310000310;310780671;GEN;336;420;1;IAO;20717;3544;4699;5806;2221;351;;;;;;;5806;8;2920;1991;629;1434;1;1
URGENCES2;2014;310016977;310781406;PED;375;1096;1;IAO;44510;;;;;;;;;;;;6559;13;4745;8629;5649;3005;;
URGENCES2;2014;310780101;310000039;GEN;168;252;0;;16146;1804;3023;2825;852;70;;;;;;;2825;3;1095;233;167;70;1;1
URGENCES2;2014;310780283;310000112;GEN;261;690;1;IAO;29466;;;6798;;;;;;;;;6798;15;5475;2418;187;3119;1;
URGENCES2;2014;310780382;310000179;GEN;168;168;0;;10456;1075;639;1533;;;;;;66;;;1599;2;;7;0;8;1;1
URGENCES2;2014;310781000;310788880;GEN;168;490;1;IAO;16798;1329;1667;4545;1315;61;96;14;0;;;;4641;2;730;645;80;648;1;1
URGENCES2;2014;310781067;310788898;GEN;168;168;0;;15757;732;401;1916;341;12;;;;128;12;5;2044;5;1821;1400;576;880;1;1
URGENCES2;2014;310781505;310000492;GEN;252;385;0;;25565;;;3580;;;;;;;;;3580;6;2190;1015;456;560;;
URGENCES2;2014;310783048;310781406;GEN;958;3239;1;MAO;62531;6242;3200;10909;3346;274;350;13;20;2285;306;94;13544;17;6205;3890;839;5033;1;1
